Latitude	Longitude	Hash	Lithology	Age	Age Uncert	Unparsed Lithology
39.32454	69.39521	39.32454;69.39521	sed, 	401.35	42.0	sedimentary rocks | paleozoic sedimentary rocks | 
78.2562	15.5117	78.2562;15.5117		NaN	NaN	na | na | na
35.34966	74.62258	35.34966;74.62258	sed, 	721.9	278.0	sedimentary rocks | precambrian-phanerozoic sedimentary rocks | 
61.5792	7.3147	61.5792;7.3147	sed, volc, ign, met, 	1519.4	981.0	orthogneiss/paragneiss/metavolcanic gneiss | proterozoic crystalline metamorphic rocks | 
51.73558	-119.45687	51.73558;-119.45687	plut, ign, 	105.5	40.0	intrusive igneous rocks | mesozoic intrusive rocks | 
-77.7257	166.5667	-77.7257;166.5667		NaN	NaN	na | na | na
59.7683	-138.0064	59.7683;-138.0064	sed, 	422.15	63.0	sedimentary rocks | paleozoic sedimentary rocks | 
58.7439	-137.0567	58.7439;-137.0567	sed, 	105.5	40.0	sedimentary rocks | mesozoic sedimentary rocks | 
58.8673	-137.1467	58.8673;-137.1467	sed, 	105.5	40.0	sedimentary rocks | mesozoic sedimentary rocks | 
58.9269	-133.9081	58.9269;-133.9081	sed, 	335.551	84.0	sedimentary rocks | paleozoic sedimentary rocks | 
58.9182	-137.5269	58.9182;-137.5269	plut, ign, 	44.515	21.0	intrusive igneous rocks | cenozoic intrusive rocks | 
61.775	6.92	61.775;6.92	sed, volc, ign, met, 	1519.4	981.0	orthogneiss/paragneiss/metavolcanic gneiss | proterozoic crystalline metamorphic rocks | 
65.25	-14.0	65.25;-14	basalt, volc, ign, 	34.29	32.0	mafic volcanic rocks | cenozoic volcanic rocks | 
60.1617	-140.2225	60.1617;-140.2225	basalt, volc, ign, 	105.5	40.0	mafic volcanic rocks | mesozoic volcanic rocks | 
59.0894	-141.7181	59.0894;-141.7181		NaN	NaN	na | na | na
58.7633	-136.5567	58.7633;-136.5567		NaN	NaN	na | na | na
58.66428	-137.16523	58.66428;-137.16523	plut, ign, 	44.515	21.0	intrusive igneous rocks | cenozoic intrusive rocks | 
58.372	-133.9612	58.372;-133.9612	plut, ign, 	44.515	21.0	intrusive igneous rocks | cenozoic intrusive rocks | 
78.1746	15.5514	78.1746;15.5514	siliciclast, shale, carb, sed, 	49.95	16.0	mudstone-carbonate-sandstone | cenozoic sedimentary rocks | 
78.1993	16.1172	78.1993;16.1172	siliciclast, shale, carb, sed, 	122.75	22.0	mudstone-carbonate-sandstone | mesozoic sedimentary rocks | 
71.5	-74.5	71.5;-74.5	met, 	2850.0	350.0	crystalline metamorphic rocks | archean crystalline metamorphic rocks | 
56.2771	-134.26297	56.2771;-134.26297		NaN	NaN	na | na | na
46.02	7.5768	46.02;7.5768	sed, basalt, volc, ign, met, 	133.65	68.0	blueschist grade metasedimentary/metavolcanic schist | mesozoic crystalline metamorphic rocks | 
46.8646	10.9789	46.8646;10.9789	met, 	1492.7	1007.0	crystalline metamorphic rocks | precambrian-phanerozoic crystalline metamorphic rocks | 
