Compilation	Reference	Reference DOI	Locality	Basin	Place	Region	Sample ID	Latitude	Longitude	Elevation (m)	Slope (m/km)	Type	Lithology	Methodology	Area (km2)	Time interval (yr)	Sediment flux (km3/yr)	Exhumation (m)	Exhumation min (m)	Exhumation max (m)	Erosion rate (mm/yr)	Erosion rate min	Erosion rate max	Comments
Chen et al., 2022	Aalto et al., 2006	10.1086/498101	ICO	ICO	Bolivia	South America		-17.26395	-65.90115		211.08505	Fluvial		Volumetric	2.30000E+03	5.00000E+00					1.87000E+00			
Chen et al., 2022	Aalto et al., 2006	10.1086/498101	BER	BER	Bolivia	South America		-18.18288	-63.55810		187.81051	Fluvial		Volumetric	4.80000E+02	5.00000E+00					4.70000E-01			
Chen et al., 2022	Aalto et al., 2006	10.1086/498101	ELV	ELV	Bolivia	South America		-17.88074	-63.33642		30.94684	Fluvial		Volumetric	6.40000E+01	5.00000E+00					1.80000E-01			
Chen et al., 2022	Aalto et al., 2006	10.1086/498101	EPS	EPS	Bolivia	South America		-17.87204	-63.29513		21.53971	Fluvial		Volumetric	2.03000E+02	5.00000E+00					7.80000E-01			
Chen et al., 2022	Aalto et al., 2006	10.1086/498101	AMO	AMO	Bolivia	South America		-17.72385	-66.23266		166.22076	Fluvial		Volumetric	9.20000E+03	5.00000E+00					5.17000E+00			
Chen et al., 2022	Aalto et al., 2006	10.1086/498101	HUR	HUR	Bolivia	South America		-18.33855	-65.46671		294.11007	Fluvial		Volumetric	1.12000E+04	5.00000E+00					4.80000E-01			
Chen et al., 2022	Aalto et al., 2006	10.1086/498101	PNA	PNA	Bolivia	South America		-18.46373	-64.36611		235.98562	Fluvial		Volumetric	3.12000E+04	5.00000E+00					2.50000E+00			
Chen et al., 2022	Aalto et al., 2006	10.1086/498101	MIZ	MIZ	Bolivia	South America		-18.46062	-64.35625		234.72670	Fluvial		Volumetric	1.08000E+04	5.00000E+00					4.90000E-01			
Chen et al., 2022	Aalto et al., 2006	10.1086/498101	PAZ	PAZ	Bolivia	South America		-20.09267	-63.89455		118.40012	Fluvial		Volumetric	4.36000E+03	5.00000E+00					1.90000E-01			
Chen et al., 2022	Aalto et al., 2006	10.1086/498101	SAN	SAN	Bolivia	South America		-20.34364	-63.04346		19.89982	Fluvial		Volumetric	7.50000E+03	5.00000E+00					9.80000E-01			
Chen et al., 2022	Aalto et al., 2006	10.1086/498101	AT	AT	Bolivia	South America		-19.03611	-65.39845		196.26893	Fluvial		Volumetric	6.34000E+03	5.00000E+00					7.10000E-01			
Chen et al., 2022	Aalto et al., 2006	10.1086/498101	NU	NU	Bolivia	South America		-19.26653	-65.29378		193.40250	Fluvial		Volumetric	1.60000E+03	5.00000E+00					2.60000E-01			
Chen et al., 2022	Aalto et al., 2006	10.1086/498101	VQ	VQ	Bolivia	South America		-19.36306	-64.90686		231.26237	Fluvial		Volumetric	1.32000E+04	5.00000E+00					6.30000E-01			
Chen et al., 2022	Aalto et al., 2006	10.1086/498101	SL	SL	Bolivia	South America		-20.17027	-65.87502		245.79010	Fluvial		Volumetric	4.20000E+03	5.00000E+00					4.00000E-02			
Chen et al., 2022	Aalto et al., 2006	10.1086/498101	EP	EP	Bolivia	South America		-21.15133	-65.20441		125.41980	Fluvial		Volumetric	2.01000E+04	5.00000E+00					5.00000E-02			
Chen et al., 2022	Aalto et al., 2006	10.1086/498101	CH	CH	Bolivia	South America		-21.02022	-64.97351		218.96720	Fluvial		Volumetric	4.29000E+04	5.00000E+00					1.20000E-01			
Chen et al., 2022	Aalto et al., 2006	10.1086/498101	SJ	SJ	Bolivia	South America		-21.14871	-64.20867		216.29696	Fluvial		Volumetric	4.75000E+04	5.00000E+00					2.50000E-01			
Chen et al., 2022	Aalto et al., 2006	10.1086/498101	VI	VI	Bolivia	South America		-21.29190	-63.42678		25.43232	Fluvial		Volumetric	8.13000E+04	5.00000E+00					3.30000E-01			
Chen et al., 2022	Aalto et al., 2006	10.1086/498101	CAB	CAB	Bolivia	South America		-21.33511	-64.60162		186.38939	Fluvial		Volumetric	2.30000E+02	5.00000E+00					8.00000E-02			
Chen et al., 2022	Aalto et al., 2006	10.1086/498101	OB	OB	Bolivia	South America		-21.44504	-64.63953		128.61121	Fluvial		Volumetric	9.20000E+02	5.00000E+00					1.60000E-01			
Chen et al., 2022	Aalto et al., 2006	10.1086/498101	TO	TO	Bolivia	South America		-21.47974	-64.65922		107.35420	Fluvial		Volumetric	4.60000E+02	5.00000E+00					1.23000E+00			
Chen et al., 2022	Aalto et al., 2006	10.1086/498101	SA	SA	Bolivia	South America		-21.57527	-64.14427		143.32797	Fluvial		Volumetric	2.90000E+02	5.00000E+00					8.00000E-02			
Chen et al., 2022	Aalto et al., 2006	10.1086/498101	PA	PA	Bolivia	South America		-21.56107	-64.15202		144.58915	Fluvial		Volumetric	2.20000E+02	5.00000E+00					1.90000E-01			
Chen et al., 2022	Aalto et al., 2006	10.1086/498101	AQM	AQM	Bolivia	South America		-16.32861	-67.55500		330.25391	Fluvial		Volumetric	9.40000E+03	5.00000E+00					1.47000E+00			
Chen et al., 2022	Aalto et al., 2006	10.1086/498101	SRC	SRC	Bolivia	South America		-16.72666	-67.19250		351.08443	Fluvial		Volumetric	4.70000E+03	5.00000E+00					5.70000E-01			
Chen et al., 2022	Aalto et al., 2006	10.1086/498101	AIN	AIN	Bolivia	South America		-16.69888	-66.73083		387.58849	Fluvial		Volumetric	2.99000E+04	5.00000E+00					1.43000E+00			
Chen et al., 2022	Aalto et al., 2006	10.1086/498101	AB	AB	Bolivia	South America		-15.88722	-66.84861		176.14384	Fluvial		Volumetric	6.75000E+04	5.00000E+00					1.21000E+00			
Chen et al., 2022	Aalto et al., 2006	10.1086/498101	LBE	LBE	Bolivia	South America		-17.73304	-63.20179		7.46717	Fluvial		Volumetric	2.88000E+03	5.00000E+00					3.00000E-01			
Chen et al., 2022	Andermann et al., 2012	10.1016/j.epsl.2012.06.059	Bhote Koshi	Bhote Koshi	Nepal	Asia		27.75000	85.26000		196.31054	Fluvial		Volumetric	2.30800E+03	5.00000E+00					1.00000E-01			
Chen et al., 2022	Andermann et al., 2012	10.1016/j.epsl.2012.06.059	Upper Karnali	Upper Karnali	Nepal	Asia		28.95000	81.44000		307.87635	Fluvial		Volumetric	2.11210E+04	5.00000E+00					4.00000E-01			
Chen et al., 2022	Andermann et al., 2012	10.1016/j.epsl.2012.06.059	Karnali	Karnali	Nepal	Asia		28.64000	81.29000		148.53903	Fluvial		Volumetric	4.59670E+04	5.00000E+00					9.00000E-01			
Chen et al., 2022	Andermann et al., 2012	10.1016/j.epsl.2012.06.059	Saradha	Saradha	Nepal	Asia		27.64000	82.02000		2.31054	Fluvial		Volumetric	8.08000E+02	5.00000E+00					2.00000E-01			
