Compilation	Reference	Reference DOI	Locality	Basin	Place	Region	Sample ID	Latitude	Longitude	Elevation (m)	Slope (m/km)	Type	Lithology	Methodology	Area (km2)	Time interval (yr)	Sediment flux (km3/yr)	Exhumation (m)	Exhumation min (m)	Exhumation max (m)	Erosion rate (mm/yr)	Erosion rate min	Erosion rate max	Comments
Chen et al., 2022	Milliman and Syvitski 1992	10.1086/629606	Welland	Welland	UK	British Isles		52.93364	0.08402		2.03195	Fluvial		Volumetric	5.30000E+02	5.00000E+00					8.75000E-03			
Chen et al., 2022	Milliman and Syvitski 1992	10.1086/629606	Exe	Exe	UK	British Isles		50.61461	-3.42142		23.84493	Fluvial		Volumetric	6.00000E+02	5.00000E+00					1.50000E-02			
Chen et al., 2022	Milliman and Syvitski 1992	10.1086/629606	Bristol Avon	Bristol Avon	UK	British Isles		51.50400	-2.71825		33.85429	Fluvial		Volumetric	6.70000E+02	5.00000E+00					1.68750E-02			
Chen et al., 2022	Milliman and Syvitski 1992	10.1086/629606	Swale	Swale	UK	British Isles		54.08828	-1.34352		8.61768	Fluvial		Volumetric	1.40000E+03	5.00000E+00					1.50000E-02			
Chen et al., 2022	Milliman and Syvitski 1992	10.1086/629606	Nene	Nene	UK	British Isles		52.82581	0.21751		1.53333	Fluvial		Volumetric	1.50000E+03	5.00000E+00					6.87500E-03			
Chen et al., 2022	Milliman and Syvitski 1992	10.1086/629606	Ely Ouse	Ely Ouse	UK	British Isles		52.80811	0.35704		2.29665	Fluvial		Volumetric	3.60000E+03	5.00000E+00					5.00000E-03			
Chen et al., 2022	Milliman and Syvitski 1992	10.1086/629606	Neuse	Neuse	US	North America		35.06428	-76.53615		2.66510	Fluvial		Volumetric	6.90000E+03	5.00000E+00					7.50000E-03			
Chen et al., 2022	Milliman and Syvitski 1992	10.1086/629606	Ogeechee	Ogeechee	US	North America		31.83667	-81.04524		6.27878	Fluvial		Volumetric	6.70000E+03	5.00000E+00					5.62500E-03			
Chen et al., 2022	Milliman and Syvitski 1992	10.1086/629606	Pamlico	Pamlico	US	North America		35.32812	-76.44751		2.33386	Fluvial		Volumetric	1.10000E+04	5.00000E+00					1.18750E-02			
Chen et al., 2022	Milliman and Syvitski 1992	10.1086/629606	Peedee	Peedee	US	North America		33.36288	-79.26570		6.60884	Fluvial		Volumetric	2.30000E+04	5.00000E+00					1.06250E-02			
Chen et al., 2022	Milliman and Syvitski 1992	10.1086/629606	Kymijoki	Kymijoki	Finland	Fennoscandia		60.47714	26.89409		16.82603	Fluvial		Volumetric	3.70000E+04	5.00000E+00					2.50000E-04			
Chen et al., 2022	Milliman and Syvitski 1992	10.1086/629606	Apalachicola	Apalachicola	US	North America		29.72448	-84.97896		3.02963	Fluvial		Volumetric	4.40000E+04	5.00000E+00					2.50000E-03			
Chen et al., 2022	Milliman and Syvitski 1992	10.1086/629606	Tar	Tar	US	North America		35.54807	-77.08098		5.50340	Fluvial		Volumetric	5.70000E+04	5.00000E+00					1.25000E-03			
Chen et al., 2022	Nearing et al., 2007	10.1029/2006WR005692	Lucky Hills (102) Walnut Gulch Arizona	Lucky Hills (102) Walnut Gulch Arizona	US	North America		31.74219	-110.05260		29.67976	Fluvial		Volumetric	1.46000E-02	5.00000E+00					1.44375E-01			
Chen et al., 2022	Nearing et al., 2007	10.1029/2006WR005692	Lucky Hills (105) Walnut Gulch Arizona	Lucky Hills (105) Walnut Gulch Arizona	US	North America		31.74343	-110.05484		29.67976	Fluvial		Volumetric	1.80000E-03	5.00000E+00					4.68750E-02			
Chen et al., 2022	Nearing et al., 2007	10.1029/2006WR005692	Lucky Hills (106) Walnut Gulch Arizona	Lucky Hills (106) Walnut Gulch Arizona	US	North America		31.74203	-110.05369		29.67976	Fluvial		Volumetric	3.40000E-03	5.00000E+00					5.00000E-02			
Chen et al., 2022	Nearing et al., 2007	10.1029/2006WR005692	Lucky Hills (121) Walnut Gulch Arizona	Lucky Hills (121) Walnut Gulch Arizona	US	North America		31.73024	-110.03607		28.70867	Fluvial		Volumetric	5.42000E-02	5.00000E+00					9.12500E-02			
Chen et al., 2022	Nichols et al., 2004		Upper Rio Chagres (CChC)	Upper Rio Chagres (CChC)	Panama	Central America		9.26751	-79.50538		96.83365	Fluvial		Volumetric	4.09000E+02	5.00000E+00					1.07000E-01			
Chen et al., 2022	Pan et al., 2010	10.1016/j.epsl.2010.01.030	Danghewan Qilian Shan	Danghewan Qilian Shan	China	Asia		39.65000	94.88333		30.89442	Fluvial		Volumetric	1.37620E+04	5.00000E+00					2.00000E-02			
Chen et al., 2022	Pan et al., 2010	10.1016/j.epsl.2010.01.030	Changmabao Qilian Shan	Changmabao Qilian Shan	China	Asia		39.65000	96.85000		172.00101	Fluvial		Volumetric	1.09100E+04	5.00000E+00					1.20000E-01			
Chen et al., 2022	Pan et al., 2010	10.1016/j.epsl.2010.01.030	Binggou Qilian Shan	Binggou Qilian Shan	China	Asia		39.60000	98.00000		214.70588	Fluvial		Volumetric	6.89600E+03	5.00000E+00					5.00000E-02			
Chen et al., 2022	Pan et al., 2010	10.1016/j.epsl.2010.01.030	Xindi Qilian Shan	Xindi Qilian Shan	China	Asia		39.65000	98.81666		7.09703	Fluvial		Volumetric	1.58200E+03	5.00000E+00					2.00000E-01			
Chen et al., 2022	Pan et al., 2010	10.1016/j.epsl.2010.01.030	Liyuanbao Qilian Shan	Liyuanbao Qilian Shan	China	Asia		38.96666	100.00000		131.15234	Fluvial		Volumetric	2.23100E+03	5.00000E+00					9.00000E-02			
Chen et al., 2022	Pan et al., 2010	10.1016/j.epsl.2010.01.030	Zhamashike Qilian Shan	Zhamashike Qilian Shan	China	Asia		38.21666	99.98333		289.77929	Fluvial		Volumetric	4.58500E+03	5.00000E+00					1.20000E-01			
Chen et al., 2022	Pan et al., 2010	10.1016/j.epsl.2010.01.030	Qilian Qilian Shan	Qilian Qilian Shan	China	Asia		38.20000	100.21666		235.29713	Fluvial		Volumetric	2.41300E+03	5.00000E+00					9.00000E-02			
Chen et al., 2022	Pan et al., 2010	10.1016/j.epsl.2010.01.030	Yingluoxia Qilian Shan	Yingluoxia Qilian Shan	China	Asia		38.23333	100.18333		241.08949	Fluvial		Volumetric	1.00030E+04	5.00000E+00					1.10000E-01			
Chen et al., 2022	Pan et al., 2010	10.1016/j.epsl.2010.01.030	Jiutiaoling Qilian Shan	Jiutiaoling Qilian Shan	China	Asia		37.86666	102.05000		173.18703	Fluvial		Volumetric	1.08200E+03	5.00000E+00					9.00000E-02			
Chen et al., 2022	Pan et al., 2010	10.1016/j.epsl.2010.01.030	Zamusi Qilian Shan	Zamusi Qilian Shan	China	Asia		37.70000	102.56666		152.18250	Fluvial		Volumetric	8.42000E+02	5.00000E+00					1.10000E-01			
Chen et al., 2022	Pan et al., 2010	10.1016/j.epsl.2010.01.030	Shajintai Qilian Shan	Shajintai Qilian Shan	China	Asia		37.46666	102.60000		122.04814	Fluvial		Volumetric	4.55000E+02	5.00000E+00					1.20000E-01			
Chen et al., 2022	Pelletier et al., 2016	10.5194/esurf-4-471-2016	Lucky Hills (103) Walnut Gulch Arizona	Lucky Hills (103) Walnut Gulch Arizona	US	North America		31.74330	-110.05467		29.67976	Fluvial		Volumetric	3.68264E-02	5.00000E+00					3.77000E-01			
Chen et al., 2022	Pelletier et al., 2016	10.5194/esurf-4-471-2016	Lucky Hills (104) Walnut Gulch Arizona	Lucky Hills (104) Walnut Gulch Arizona	US	North America		31.74123	-110.05241		29.67976	Fluvial		Volumetric	4.53248E-02	5.00000E+00					9.10000E-02			
Chen et al., 2022	Pelletier et al., 2016	10.5194/esurf-4-471-2016	Kendall (112) Walnut Gulch Arizona	Kendall (112) Walnut Gulch Arizona	US	North America		31.73714	-109.94371		43.32406	Fluvial		Volumetric	1.86156E-02	5.00000E+00					5.00000E-03			
Chen et al., 2022	Schaller et al., 2001	10.1016/S0012-821X(01)00320-X	Regenstauf Regen	Regenstauf Regen	Germany	Europe		49.12864	12.12944		48.04708	Fluvial		Volumetric	2.65800E+03	5.00000E+00					7.00000E-03			
Chen et al., 2022	Schaller et al., 2001	10.1016/S0012-821X(01)00320-X	Deizisau Neckar	Deizisau Neckar	Germany	Europe		48.71713	9.38186		62.68405	Fluvial		Volumetric	4.01000E+03	5.00000E+00					2.50000E-02			
Chen et al., 2022	Schaller et al., 2001	10.1016/S0012-821X(01)00320-X	Poppenweiler Neckar	Poppenweiler Neckar	Germany	Europe		48.90802	9.25879		41.54182	Fluvial		Volumetric	5.00500E+03	5.00000E+00					2.70000E-02			
Chen et al., 2022	Schaller et al., 2001	10.1016/S0012-821X(01)00320-X	Lauffen Neckar	Lauffen Neckar	Germany	Europe		49.07272	9.16058		36.51828	Fluvial		Volumetric	7.91600E+03	5.00000E+00					2.30000E-02			
Chen et al., 2022	Schaller et al., 2001	10.1016/S0012-821X(01)00320-X	Rockenau Neckar	Rockenau Neckar	Germany	Europe		49.44679	9.00149		104.31736	Fluvial		Volumetric	1.26760E+04	5.00000E+00					2.70000E-02			
Chen et al., 2022	Schaller et al., 2001	10.1016/S0012-821X(01)00320-X	Mannheim Neckar	Mannheim Neckar	Germany	Europe		49.48953	8.44528		5.36108	Fluvial		Volumetric	1.39660E+04	5.00000E+00					2.60000E-02			
Chen et al., 2022	Schaller et al., 2001	10.1016/S0012-821X(01)00320-X	Tailfer Meuse	Tailfer Meuse	Belgium	Europe		50.39801	4.88197		52.74191	Fluvial		Volumetric	1.24840E+04	5.00000E+00					1.80000E-02			
Chen et al., 2022	Schaller et al., 2001	10.1016/S0012-821X(01)00320-X	Nameche Meuse	Nameche Meuse	Belgium	Europe		50.46823	4.99476		32.75458	Fluvial		Volumetric	1.53280E+04	5.00000E+00					1.80000E-02			
Chen et al., 2022	Schaller et al., 2001	10.1016/S0012-821X(01)00320-X	Liege Meuse	Liege Meuse	Belgium	Europe		50.63827	5.57646		44.56370	Fluvial		Volumetric	2.12540E+04	5.00000E+00					1.70000E-02			
Chen et al., 2022	Schaller et al., 2001	10.1016/S0012-821X(01)00320-X	Eijsden Meuse	Eijsden Meuse	Netherlands	Europe		50.78289	5.69198		27.92308	Fluvial		Volumetric	2.16490E+04	5.00000E+00					1.70000E-02			
Chen et al., 2022	Schaller et al., 2001	10.1016/S0012-821X(01)00320-X	Heusden Meuse	Heusden Meuse	Netherlands	Europe		51.74038	5.14295		3.18112	Fluvial		Volumetric	3.27110E+04	5.00000E+00					1.30000E-02			
Chen et al., 2022	Schaller et al., 2001	10.1016/S0012-821X(01)00320-X	Keizersveer Meuse	Keizersveer Meuse	Netherlands	Europe		51.71970	4.89072		3.19210	Fluvial		Volumetric	3.35800E+04	5.00000E+00					1.10000E-02			
Chen et al., 2022	Schaller et al., 2001	10.1016/S0012-821X(01)00320-X	Goudet Loire	Goudet Loire	France	Europe		44.89381	3.91873		85.93427	Fluvial		Volumetric	4.32000E+02	5.00000E+00					3.00000E-03			
Chen et al., 2022	Schaller et al., 2001	10.1016/S0012-821X(01)00320-X	Bas Loire	Bas Loire	France	Europe		45.30909	4.13021		90.10256	Fluvial		Volumetric	3.23400E+03	5.00000E+00					5.00000E-03			
Chen et al., 2022	Schaller et al., 2001	10.1016/S0012-821X(01)00320-X	Feurs Loire	Feurs Loire	France	Europe		45.74238	4.21206		23.50337	Fluvial		Volumetric	4.96000E+03	5.00000E+00					5.00000E-03			
Chen et al., 2022	Schaller et al., 2001	10.1016/S0012-821X(01)00320-X	Villerest Loire	Villerest Loire	France	Europe		45.99593	4.04633		40.28250	Fluvial		Volumetric	6.58400E+03	5.00000E+00					4.00000E-03			
Chen et al., 2022	Schaller et al., 2001	10.1016/S0012-821X(01)00320-X	Decize Loire	Decize Loire	France	Europe		46.82801	3.45787		23.29375	Fluvial		Volumetric	1.65190E+04	5.00000E+00					5.00000E-03			
Chen et al., 2022	Schaller et al., 2001	10.1016/S0012-821X(01)00320-X	Nevers Loire	Nevers Loire	France	Europe		46.98369	3.15874		24.65947	Fluvial		Volumetric	1.82080E+04	5.00000E+00					7.00000E-03			
Chen et al., 2022	Schaller et al., 2001	10.1016/S0012-821X(01)00320-X	Gien Loire	Gien Loire	France	Europe		47.68277	2.63147		13.97827	Fluvial		Volumetric	3.55000E+04	5.00000E+00					1.00000E-02			
Chen et al., 2022	Schaller et al., 2001	10.1016/S0012-821X(01)00320-X	Orleans Loire	Orleans Loire	France	Europe		47.89661	1.90385		7.16775	Fluvial		Volumetric	3.69660E+04	5.00000E+00					8.00000E-03			
Chen et al., 2022	Schaller et al., 2001	10.1016/S0012-821X(01)00320-X	Chaumont Loire	Chaumont Loire	France	Europe		47.48579	1.19019		15.09996	Fluvial		Volumetric	4.06000E+04	5.00000E+00					1.00000E-02			
Chen et al., 2022	Schaller et al., 2001	10.1016/S0012-821X(01)00320-X	Langogne Allier	Langogne Allier	France	Europe		44.73481	3.85772		72.60140	Fluvial		Volumetric	3.24000E+02	5.00000E+00					3.00000E-03			
Chen et al., 2022	Schaller et al., 2001	10.1016/S0012-821X(01)00320-X	Langeac Allier	Langeac Allier	France	Europe		45.10084	3.49869		100.46784	Fluvial		Volumetric	1.78100E+03	5.00000E+00					4.00000E-03			
Chen et al., 2022	Schaller et al., 2001	10.1016/S0012-821X(01)00320-X	Chatel Allier	Chatel Allier	France	Europe		46.40213	3.31761		20.25371	Fluvial		Volumetric	1.24300E+04	5.00000E+00					6.00000E-03			
Chen et al., 2022	Schaller et al., 2001	10.1016/S0012-821X(01)00320-X	Villeneuve Allier	Villeneuve Allier	France	Europe		46.65917	3.22899		16.23617	Fluvial		Volumetric	1.33480E+04	5.00000E+00					8.00000E-03			
Chen et al., 2022	Schaller et al., 2001	10.1016/S0012-821X(01)00320-X	Cuffy Allier	Cuffy Allier	France	Europe		46.94783	3.07319		18.54026	Fluvial		Volumetric	1.43200E+04	5.00000E+00					8.00000E-03			
Chen et al., 2022	Siame et al., 2011	10.1016/j.quageo.2010.11.003	Lanyang River (H001)	Lanyang River (H001)	Taiwan	Asia		24.64226	121.56757		249.66965	Fluvial		Volumetric	4.46700E+02	5.00000E+00					4.50000E+00			
Chen et al., 2022	Siame et al., 2011	10.1016/j.quageo.2010.11.003	Lanyang River (H006)	Lanyang River (H006)	Taiwan	Asia		24.71458	121.77201		25.42039	Fluvial		Volumetric	8.20690E+02	5.00000E+00					1.04500E+01			
Chen et al., 2022	Siame et al., 2011	10.1016/j.quageo.2010.11.003	Lanyang River (H019)	Lanyang River (H019)	Taiwan	Asia		24.75808	121.74398		66.55635	Fluvial		Volumetric	1.01350E+02	5.00000E+00					4.10000E+00			
Chen et al., 2022	Summerfield and Hulton 1994	10.1029/94JB00715	Amazon	Amazon	Brazil	South America		0.38488	-50.02653		4.66732	Fluvial		Volumetric	5.98000E+06	5.00000E+00					8.20000E-02			
Chen et al., 2022	Summerfield and Hulton 1994	10.1029/94JB00715	Sao Francisco	Sao Francisco	Brazil	South America		-10.49780	-36.39452		3.32958	Fluvial		Volumetric	6.20000E+05	5.00000E+00					4.00000E-03			
Chen et al., 2022	Summerfield and Hulton 1994	10.1029/94JB00715	La Plata (Parana)	La Plata (Parana)	Argentina	South America		-35.23640	-56.70972		0.78964	Fluvial		Volumetric	2.86000E+06	5.00000E+00					1.10000E-02			
Chen et al., 2022	Summerfield and Hulton 1994	10.1029/94JB00715	Orinoco	Orinoco	Venezuela	South America		8.84282	-60.75576		5.90619	Fluvial		Volumetric	9.20000E+05	5.00000E+00					6.60000E-02			
Chen et al., 2022	Summerfield and Hulton 1994	10.1029/94JB00715	Colorado	Colorado	Mexico	North America		31.69917	-114.71140		7.83142	Fluvial		Volumetric	7.00000E+05	5.00000E+00					8.90000E-02			
Chen et al., 2022	Summerfield and Hulton 1994	10.1029/94JB00715	Columbia	Columbia	US	North America		46.25756	-124.02191		13.67206	Fluvial		Volumetric	6.70000E+05	5.00000E+00					1.80000E-02			
Chen et al., 2022	Summerfield and Hulton 1994	10.1029/94JB00715	Mississippi	Mississippi	US	North America		29.43039	-89.60373		3.83476	Fluvial		Volumetric	3.20000E+06	5.00000E+00					7.00000E-02			
Chen et al., 2022	Summerfield and Hulton 1994	10.1029/94JB00715	Rio Grande	Rio Grande	US	North America		25.95328	-97.14910		3.56809	Fluvial		Volumetric	6.30000E+05	5.00000E+00					1.80000E-02			
Chen et al., 2022	Summerfield and Hulton 1994	10.1029/94JB00715	Yukon	Yukon	US	North America		62.60416	-164.81526		12.11161	Fluvial		Volumetric	8.40000E+05	5.00000E+00					3.50000E-02			
Chen et al., 2022	Summerfield and Hulton 1994	10.1029/94JB00715	Mackenzie	Mackenzie	Canada	North America		69.31783	-133.97977		21.47517	Fluvial		Volumetric	1.77000E+06	5.00000E+00					2.30000E-02			
Chen et al., 2022	Summerfield and Hulton 1994	10.1029/94JB00715	St. Lawrence	St. Lawrence	Canada	North America		49.38738	-66.73421		3.36234	Fluvial		Volumetric	1.05000E+06	5.00000E+00					1.00000E-03			
Chen et al., 2022	Summerfield and Hulton 1994	10.1029/94JB00715	Amur	Amur	Russia	Russia		52.95614	141.13460		42.57041	Fluvial		Volumetric	2.04000E+06	5.00000E+00					1.00000E-02			
Chen et al., 2022	Summerfield and Hulton 1994	10.1029/94JB00715	Lena	Lena	Russia	Russia		72.31853	126.58088		31.59869	Fluvial		Volumetric	2.45000E+06	5.00000E+00					3.00000E-03			
Chen et al., 2022	Summerfield and Hulton 1994	10.1029/94JB00715	Danube	Danube	Romania	Europe		45.23393	29.71883		3.34278	Fluvial		Volumetric	7.90000E+05	5.00000E+00					3.50000E-02			
Chen et al., 2022	Summerfield and Hulton 1994	10.1029/94JB00715	Dnieper	Dnieper	Ukraine	Europe		46.49837	32.30173		6.21457	Fluvial		Volumetric	5.40000E+05	5.00000E+00					1.00000E-03			
Chen et al., 2022	Summerfield and Hulton 1994	10.1029/94JB00715	Shatt-Al-Arab	Shatt-Al-Arab	Iraq	West Asia		29.93267	48.61477		3.47009	Fluvial		Volumetric	8.90000E+05	5.00000E+00					2.10000E-02			
Chen et al., 2022	Summerfield and Hulton 1994	10.1029/94JB00715	Brahmaputra	Brahmaputra	Bangladesh	Asia		23.80441	89.77370		3.80501	Fluvial		Volumetric	6.40000E+05	5.00000E+00					6.70000E-01			
Chen et al., 2022	Summerfield and Hulton 1994	10.1029/94JB00715	Ganges	Ganges	Bangladesh	Asia		22.39113	91.00273		4.47883	Fluvial		Volumetric	9.80000E+05	5.00000E+00					2.57000E-01			
Chen et al., 2022	Summerfield and Hulton 1994	10.1029/94JB00715	Chiang Jiang (Yangtze River)	Chiang Jiang (Yangtze River)	China	Asia		31.43349	121.85698		2.80306	Fluvial		Volumetric	1.73000E+06	5.00000E+00					1.04000E-01			
Chen et al., 2022	Summerfield and Hulton 1994	10.1029/94JB00715	Huang He (Yellow River)	Huang He (Yellow River)	China	Asia		37.76367	119.15613		1.94570	Fluvial		Volumetric	7.90000E+05	5.00000E+00					4.70000E-02			
Chen et al., 2022	Summerfield and Hulton 1994	10.1029/94JB00715	Indus	Indus	Pakistan	Asia		24.01853	67.46893		3.19261	Fluvial		Volumetric	9.30000E+05	5.00000E+00					1.20000E-01			
Chen et al., 2022	Summerfield and Hulton 1994	10.1029/94JB00715	Mekong	Mekong	Vietnam	Asia		9.77558	106.48279		3.62539	Fluvial		Volumetric	7.60000E+05	5.00000E+00					8.60000E-02			
Chen et al., 2022	Summerfield and Hulton 1994	10.1029/94JB00715	Nile	Nile	Egypt	Africa		31.45237	30.37712		3.27714	Fluvial		Volumetric	3.63000E+06	5.00000E+00					1.00000E-02			
Chen et al., 2022	Summerfield and Hulton 1994	10.1029/94JB00715	Zaire	Zaire	Democratic Republic of the Congo	Africa		-6.06531	12.43875		30.66479	Fluvial		Volumetric	3.63000E+06	5.00000E+00					5.00000E-03			
Chen et al., 2022	Summerfield and Hulton 1994	10.1029/94JB00715	Zambezi	Zambezi	Mozambique	Africa		-18.85272	36.29945		4.15802	Fluvial		Volumetric	1.41000E+06	5.00000E+00					1.30000E-02			
Chen et al., 2022	Summerfield and Hulton 1994	10.1029/94JB00715	Orange	Orange	South Africa	Africa		-28.63191	16.45404		10.38575	Fluvial		Volumetric	8.90000E+05	5.00000E+00					2.40000E-02			
Chen et al., 2022	Summerfield and Hulton 1994	10.1029/94JB00715	Niger	Niger	Nigeria	Africa		5.13795	5.38494		4.98874	Fluvial		Volumetric	2.16000E+06	5.00000E+00					7.00000E-03			
Chen et al., 2022	Summerfield and Hulton 1994	10.1029/94JB00715	Murray	Murray	Australia	Australia		-35.36417	139.36403		4.13553	Fluvial		Volumetric	1.14000E+06	5.00000E+00					1.10000E-02			
Chen et al., 2022	USGS	https://waterdata.usgs.gov/nwis.	YANTIC RIVER AT YANTIC CT	YANTIC RIVER AT YANTIC CT	US	North America	1127500	41.55861	-72.12194		41.91292	Fluvial		Volumetric	2.31286E+02	5.00000E+00					9.59805E-03			
Chen et al., 2022	USGS	https://waterdata.usgs.gov/nwis.	COGINCHAUG RIVER AT MIDDLEFIELD CT	COGINCHAUG RIVER AT MIDDLEFIELD CT	US	North America	1192883	41.52023	-72.70653		40.05370	Fluvial		Volumetric	7.71816E+01	5.00000E+00					5.69841E-03			
Chen et al., 2022	USGS	https://waterdata.usgs.gov/nwis.	SALMON RIVER NEAR EAST HAMPTON CT	SALMON RIVER NEAR EAST HAMPTON CT	US	North America	1193500	41.55222	-72.44972		45.13401	Fluvial		Volumetric	2.58999E+02	5.00000E+00					4.11580E-02			
Chen et al., 2022	USGS	https://waterdata.usgs.gov/nwis.	Passaic River near Chatham NJ	Passaic River near Chatham NJ	US	North America	1379500	40.72611	-74.38972		25.62313	Fluvial		Volumetric	2.58999E+02	5.00000E+00					1.38896E-02			
Chen et al., 2022	USGS	https://waterdata.usgs.gov/nwis.	Baldwins Creek at Baldwin Lake nr Pennington NJ	Baldwins Creek at Baldwin Lake nr Pennington NJ	US	North America	1400932	40.34056	-74.78056		20.64828	Fluvial		Volumetric	6.52677E+00	5.00000E+00					1.07587E-02			
Chen et al., 2022	USGS	https://waterdata.usgs.gov/nwis.	Great Egg Harbor River at Folsom NJ	Great Egg Harbor River at Folsom NJ	US	North America	1411000	39.59472	-74.85167		5.03972	Fluvial		Volumetric	1.47888E+02	5.00000E+00					1.70423E-03			
Chen et al., 2022	USGS	https://waterdata.usgs.gov/nwis.	Crosswicks Creek at Extonville NJ	Crosswicks Creek at Extonville NJ	US	North America	1464500	40.13722	-74.60000		8.13273	Fluvial		Volumetric	2.11084E+02	5.00000E+00					1.30448E-02			
Chen et al., 2022	USGS	https://waterdata.usgs.gov/nwis.	Schuylkill River at Port Carbon PA	Schuylkill River at Port Carbon PA	US	North America	1467470	40.69444	-76.16389		65.08757	Fluvial		Volumetric	7.01887E+01	5.00000E+00					1.41505E-01			
Chen et al., 2022	USGS	https://waterdata.usgs.gov/nwis.	Schuylkill River at Berne PA	Schuylkill River at Berne PA	US	North America	1470500	40.52259	-75.99827		52.60184	Fluvial		Volumetric	9.19446E+02	5.00000E+00					4.80396E-02			
Chen et al., 2022	USGS	https://waterdata.usgs.gov/nwis.	French Creek near Phoenixville PA	French Creek near Phoenixville PA	US	North America	1472157	40.15139	-75.60167		30.37104	Fluvial		Volumetric	1.53068E+02	5.00000E+00					1.59551E-02			
Chen et al., 2022	USGS	https://waterdata.usgs.gov/nwis.	Perkiomen Creek at Graterford PA	Perkiomen Creek at Graterford PA	US	North America	1473000	40.22955	-75.45157		25.32529	Fluvial		Volumetric	7.22607E+02	5.00000E+00					4.29874E-02			
Chen et al., 2022	USGS	https://waterdata.usgs.gov/nwis.	Valley Creek at PA Turnpike Br near Valley Forge	Valley Creek at PA Turnpike Br near Valley Forge	US	North America	1473169	40.07917	-75.46111		29.30216	Fluvial		Volumetric	5.38718E+01	5.00000E+00					2.21218E-02			
Chen et al., 2022	USGS	https://waterdata.usgs.gov/nwis.	West Branch Brandywine Creek near Honey Brook PA	West Branch Brandywine Creek near Honey Brook PA	US	North America	1480300	40.07278	-75.86111		34.16491	Fluvial		Volumetric	4.84328E+01	5.00000E+00					3.68980E-02			
Chen et al., 2022	USGS	https://waterdata.usgs.gov/nwis.	West Branch Brandywine Creek at Modena PA	West Branch Brandywine Creek at Modena PA	US	North America	1480617	39.96167	-75.80167		31.50427	Fluvial		Volumetric	1.42449E+02	5.00000E+00					2.34275E-02			
Chen et al., 2022	USGS	https://waterdata.usgs.gov/nwis.	East Branch Brandywine Creek below Downingtown PA	East Branch Brandywine Creek below Downingtown PA	US	North America	1480870	39.96861	-75.67361		31.68979	Fluvial		Volumetric	2.32840E+02	5.00000E+00					2.16472E-02			
Chen et al., 2022	USGS	https://waterdata.usgs.gov/nwis.	Brandywine Creek at Chadds Ford PA	Brandywine Creek at Chadds Ford PA	US	North America	1481000	39.86983	-75.59326		25.92861	Fluvial		Volumetric	7.43327E+02	5.00000E+00					3.95898E-02			
Chen et al., 2022	USGS	https://waterdata.usgs.gov/nwis.	BRANDYWINE CREEK AT WILMINGTON DE	BRANDYWINE CREEK AT WILMINGTON DE	US	North America	1481500	39.76951	-75.57670		19.29663	Fluvial		Volumetric	8.13256E+02	5.00000E+00					4.19240E-02			
Chen et al., 2022	USGS	https://waterdata.usgs.gov/nwis.	CHOPTANK RIVER NEAR GREENSBORO MD	CHOPTANK RIVER NEAR GREENSBORO MD	US	North America	1491000	38.99720	-75.78581		5.77878	Fluvial		Volumetric	2.92669E+02	5.00000E+00					3.88827E-03			
Chen et al., 2022	USGS	https://waterdata.usgs.gov/nwis.	Corey Creek near Mainesburg PA	Corey Creek near Mainesburg PA	US	North America	1516500	41.79091	-77.01469		75.76343	Fluvial		Volumetric	3.15979E+01	5.00000E+00					2.35663E-02			
Chen et al., 2022	USGS	https://waterdata.usgs.gov/nwis.	Elk Run near Mainesburg PA	Elk Run near Mainesburg PA	US	North America	1517000	41.81507	-76.96496		69.95597	Fluvial		Volumetric	2.64179E+01	5.00000E+00					3.04812E-02			
Chen et al., 2022	USGS	https://waterdata.usgs.gov/nwis.	Blockhouse Creek Tributary at Liberty PA	Blockhouse Creek Tributary at Liberty PA	US	North America	1549100	41.56778	-77.10167		73.18384	Fluvial		Volumetric	2.79719E+00	5.00000E+00					6.41818E-02			
Chen et al., 2022	USGS	https://waterdata.usgs.gov/nwis.	Blockhouse Creek at Buttonwood PA	Blockhouse Creek at Buttonwood PA	US	North America	1549300	41.49528	-77.15056		82.12724	Fluvial		Volumetric	7.14837E+01	5.00000E+00					5.09268E-02			
Chen et al., 2022	USGS	https://waterdata.usgs.gov/nwis.	Steam Valley Run at Buttonwood PA	Steam Valley Run at Buttonwood PA	US	North America	1549350	41.49417	-77.15083		82.12724	Fluvial		Volumetric	1.38305E+01	5.00000E+00					2.87020E-02			
Chen et al., 2022	USGS	https://waterdata.usgs.gov/nwis.	Blockhouse Creek near English Center PA	Blockhouse Creek near English Center PA	US	North America	1549500	41.47361	-77.23111		96.82874	Fluvial		Volumetric	9.76425E+01	5.00000E+00					5.95633E-02			
Chen et al., 2022	USGS	https://waterdata.usgs.gov/nwis.	Conodoguinet Creek Trib No. 1 near Enola PA	Conodoguinet Creek Trib No. 1 near Enola PA	US	North America	1570100	40.29083	-76.99389		50.71141	Fluvial		Volumetric	1.99429E+00	5.00000E+00					3.77483E-02			
Chen et al., 2022	USGS	https://waterdata.usgs.gov/nwis.	Conodoguinet Creek Trib No. 3 near Enola PA	Conodoguinet Creek Trib No. 3 near Enola PA	US	North America	1570300	40.30139	-76.94917		53.27250	Fluvial		Volumetric	9.84195E-01	5.00000E+00					8.54388E-02			
