Locality,Glacier,Region,Lat,Long,Present in Main?,Notes
"Massa, Switzerland","Massa, Switzerland",Swiss Alps,46.6067,8.3311,TRUE,
Maxwell Bay,Maxwell Bay,Antarctica,-64.95,-62.6167,TRUE,
McBride,McBride,Alaska,58.7633,-136.5567,TRUE,
"Mikis Fjord, Greenland","Mikis Fjord, Greenland",Greenland,66.7422,-53.5639,TRUE,
Muir,Muir,Alaska,58.9269,-133.9081,TRUE,
"Nansen Fjord, Greenland","Nansen Fjord, Greenland",Greenland,80.0167,-21,TRUE,
"Nigardsbreen, Norway","Nigardsbreen, Norway",Fennoscandia,61.5792,7.3147,TRUE,
palaeo-Jakobshavn Isbræ,palaeo-Jakobshavn Isbræ,Greenland,69.2167,-49.9857,TRUE,
"Pangnirmng F., NE Canada","Pangnirmng F., NE Canada",Canadian arctic islands,66.448953,-65.642054,TRUE,
"Petermann catchment, Greenland","Petermann catchment, Greenland",Greenland,80.500379,-59.513389,TRUE,
"Raikgt, Pakistan","Raikgt, Pakistan",Central Asia,35.349657,74.622584,TRUE,
RGO,RGO,Central Asia,,,TRUE,
Riggs,Riggs,Alaska,58.372,-133.9612,TRUE,
San Rafael glacier,San Rafael glacier,Patagonia,-46.6071,-74.0377,TRUE,
"Sandskardfonna, Norway","Sandskardfonna, Norway",Fennoscandia,61.5652,6.3602,TRUE,
"Skåtlbreen, Norway","Skåtlbreen, Norway",Fennoscandia,78.0956,15.7331,TRUE,
"Stafel, Switzerland","Stafel, Switzerland",Swiss Alps,45.9767,7.5625,TRUE,
"Steinhusflatebreen, Norway","Steinhusflatebreen, Norway",Fennoscandia,78.0587,15.7446,TRUE,
"Tindefjellsbreen, Norway","Tindefjellsbreen, Norway",Fennoscandia,61.5136,7.2647,TRUE,
"Trollbergsdalsbreen, Norway","Trollbergsdalsbreen, Norway",Fennoscandia,61.4456,7.1814,TRUE,
"Tsidjore, Switzerland","Tsidjore, Switzerland",Swiss Alps,46.0054,7.7457,TRUE,
"Tumbling Glacier, Baffin Island, Canada","Tumbling Glacier, Baffin Island, Canada",Canadian arctic islands,70.9489,-71.1574,TRUE,
"Tverrelvskardet, Norway","Tverrelvskardet, Norway",Fennoscandia,61.2871,7.9121,TRUE,
Variegated,Variegated,Alaska,59.7683,-138.0064,TRUE,
"Vesledalsbreen, Norway","Vesledalsbreen, Norway",Fennoscandia,60.69,6.6792,TRUE,
"Visa, Norway","Visa, Norway",Fennoscandia,61.775,6.92,TRUE,
Pine Island Glacier,West Antarctic Ice Sheet,Antarctica,-75.2536,-100.8701,TRUE,
"Mt Murphy, Marie Byrd Land",West Antarctic Ice Sheet,Antarctica,-74.8386,-113.4006,TRUE,
