Be10_exposure_yr	Al26_exposure_yr
1258.9941088060882	1095.5761620017201
4841.097501641836	
1750.6743909072368	
3090.4594145113647	
1631.1094891683742	
1696.0380749198794	
4176.745197874857	
3415.897787640526	2803.63369982176
3205.942548753296	2569.5130068391213
1467.2177843593147	
2240.3044103519337	1697.3751770338195
1924.035320099835	
775.2627042055371	
1865.6920220938437	
3549.7294628357668	1891.8051785079833
1451.8792971159332	
3901.397257891014	
1789.0337419668026	
2944.1575476376925	
1118.2529020418774	
4119.798224826888	
3128.548025988197	
1504.1681841146742	
2110.908933499574	
2203.4321754238413	
2961.891009951811	1755.9422060705556
2747.4498600073384	
1498.2777851815172	1187.3845893498783
1233.8722538511206	
9935.772835930158	
3241.264815587845	
1937.1734230245231	
4643.809105291853	3616.0355893375986
798.371974615098	675.5736666959145
6110.266951359026	
19248.632340428278	
19388.463232766742	
1297.5372755475994	
2193.5809485451186	
2159.2841208254345	
4949.558373625342	
2003.4380336483237	
5433.105755673161	
23452.133366278616	
3775.8587514373035	
4753.017941787231	
22589.054849352975	
12166.610738172014	
3120.9007334637404	
4678.661348811729	
15978.46419030711	
1621.2647404264792	
984.3691465012554	
3250.243987920335	
2231.996557182639	
17031.922189935944	
3069.4056472723387	
23418.300743930173	
1856.1419179484394	
3887.478698543591	
135198.79575871342	
3969.699051160639	
1107.0787494808785	
8556.7363024099	
38530.0543493488	
26896.653134857566	
27432.5518825005	
32291.102591324045	
17395.828488181793	
18718.815442112016	
9222.132561163759	
16737.68156684938	
18849.729403207828	
8296.588933548439	
10558.412659075604	
12541.712836310193	
15193.795169091829	
27145.372000864358	
7289.051420911245	
7851.951321001714	
24876.706941643486	
41092.60196502203	
16718.152129533883	
14762.381582586091	
11817.237810090126	
6609.900429496386	
11244.508970433266	
14735.02912691872	
49475.96712876225	
8060.14431974888	
8959.734092824365	
28628.385512222165	
23726.75170165477	
29476.205166172527	
42298.90586709783	
15271.35857046244	
14148.108925936991	
40922.810769385906	
18280.9485485038	
28147.401755072624	
27431.47588475535	
1104.6663577145425	
13704.690705877956	
27431.47588475535	
1154.2840619341198	
1134.030030016582	
28453.65443715916	
38561.15053669484	
4527.464128944768	
32266.128862474172	
6114.769231997298	
7997.345009017912	
8895.977995772917	
32743.65052626919	
6383.3861714120285	
8331.83864333634	
22009.251465881236	
7670.444949700782	
4529.569867538988	
11206.435515660558	
30976.93610067092	
65433.390946089676	
28147.401755072624	
5695.927551400987	
15201.051499035602	
2153.796289704822	
3675.7361761007032	
1778.268762384075	
1762.5401034495485	
9609.336793514425	
19989.353985238693	
35557.28494421299	
26667.205881252474	
1218.8123610884663	
69269.35541465165	
25482.26030730988	
16308.251856411993	
24192.759158689823	
123687.96067582673	
22320.98334986638	
24810.84865152752	
39512.54045751183	
15204.584956014298	
7035.093050366432	
1978.7293615553413	
936.6926937037962	
1460.9784035901937	
4749.527117917744	
1047.9231454909814	
4918.833058715063	
5500.679750374761	
1698.225300046948	
6086.990092746001	
6645.321017565669	
5761.13744153841	
1225.4986232656827	
37019.57979972285	
38544.31161720287	
43487.39451169277	
54472.3552865714	
52454.38352200119	
4706.189909886466	
4393.363575947703	
10363.95027899685	
27044.11923423143	
16502.378218315345	
31239.02347213034	
3271.587807487045	
18812.02515076923	
30296.492703665903	
16551.966132262904	
11327.865249176726	
16645.633316672862	
6525.823112311197	
6085.845167949804	
15823.785067241908	
1430.2997180728776	
1440.8973949776173	
13805.583589176462	
1451.5939616035787	
13736.88067768487	
39285.021220632916	
22685.51707273861	
3421.4801793715105	
7175.793588417739	
5829.421628769624	
19153.140194133684	
6605.393954041204	
	
6258.977952313627	5174.359685376783
8502.7028931441	5880.699438486275
24007.272338752093	
8696.056179870078	
5921.863433610277	2757.6402161802976
5088.100426494793	
3669.183880153534	
21507.091198399576	17775.358861077453
8507.779613265333	7495.782753967638
4230.368129787326	
5443.414144776064	
35276.7467547417	
4637.199069031336	
1646.2525269376254	
7861.8432989592575	
27020.08093056442	
25005.066354977134	
12389.310804079283	
2969.3308096046176	2930.949871971138
11028.815806479926	
1920.5028277219772	2803.3321667840487
1000.5331241475573	1497.330670393265
12069.770124887998	10084.68352128196
93917.29025779034	
18967.123775048352	
4819.465338016648	
11275.645607724882	
1634.9148540524461	2163.334003073771
5748.565144995967	4406.757552549971
9368.74516647934	11843.246950994355
946.5770235372622	1241.2235528326073
14105.24848132957	
8926.104800782447	
1417.2552038812512	
16190.662031481488	
81492.9432331428	
40087.80812822955	
16753.258116973877	
12494.36683504841	
1311.2586466551106	
135725.31079888748	
5357.564838970264	
22732.903326092503	
17712.905593214542	17711.380624853624
25286.95835966609	25780.539217739584
55434.210505520605	44874.156456228666
16544.283703197238	
2257.5809560822463	1824.290057230393
2637.6741091308095	3266.158944131224
2404.8841510748803	
1992.8279989258663	
7516.8177460376855	
2676.5587572401637	
2629.7023404123047	2124.5654867218095
30460.932197218302	
2806.4397584183853	
3313.560546490593	
3225.2919677305504	2878.8443755757307
2448.3754940248114	2073.78605004471
42305.44796077759	
3886.7948701228265	3403.123529185281
982.302389975004	
957.7428896585917	
887.8423445336035	
824.5109290469053	
38482.1529836861	
693.2276540406508	
752.8870970524633	
451.88453038082594	
987.5542390114293	
1125.8686921410847	
15457.516568341218	
1831.4355317550358	1520.1714062725055
683.7917505607872	635.1674292756308
636.8116579310389	
1043.8292257486576	1428.778446497079
2642.113884922182	
998.8704307530196	942.7572587377938
10044.783282696028	
3460.409796167872	
1526.0292041148416	
447.3333826514994	
36091.554280928234	
9242.952650322135	
1185.4347016893867	
1481.2405299509066	
2187.5795184353206	1822.9055795168024
346.5022116834354	
1578.2605684451983	
2561.719285561395	
1364.044210356168	3122.52395841037
3040.531744788926	2559.1077339835792
3811.825136047879	
2402.5225083789524	
4122.12250448119	3260.3711147179674
18415.30626776117	
6957.959826675747	
9118.660292271108	
1965.8404977728771	
6322.331286087034	
7196.845910410108	
4892.124672123078	
2583.3505579993716	
9446.020414884631	
13930.476715085842	
22294.11808109015	
9571.901677851189	
2358.828400965682	
12495.589810074858	
4617.033152425308	
29996.076488965133	
41692.027714229815	
21226.549229885863	
