Latitude	Longitude	Precipitation_mm_yr
36.56961	74.61982	316.0
44.54366	-72.83489	1642.7
58.9269	-133.9081	3016.8
58.9269	-133.9081	3016.8
58.9269	-133.9081	3016.8
58.9269	-133.9081	3016.8
58.9269	-133.9081	3016.8
58.9269	-133.9081	3016.8
58.9269	-133.9081	3016.8
58.9269	-133.9081	3016.8
58.9269	-133.9081	3016.8
67.011	-50.72	241.2
79.7067	21.6183	307.8
-80.5	76.0	29.2
-77.49563	162.35247	94.8
37.87077	-119.37766	1243.3
37.74215	-119.57548	976.3
44.1168	7.11299	1076.9
44.1168	7.11299	1076.9
44.1168	7.11299	1076.9
44.1168	7.11299	1076.9
70.9489	-71.1574	512.1
42.77139	0.13895	1744.1
42.77139	0.13895	1744.1
42.77139	0.13895	1744.1
42.77139	0.13895	1744.1
50.79185	-124.00293	2485.6
63.11533	19.0529	597.6
37.87077	-119.37766	1243.3
51.33574	-125.26976	2543.5
51.33574	-125.26976	2543.5
51.33574	-125.26976	2543.5
51.33574	-125.26976	2543.5
51.33574	-125.26976	2543.5
51.33574	-125.26976	2543.5
63.11533	19.0529	597.6
43.89452	-71.60311	1302.7
-54.53373	-69.57207	2581.7
-54.53373	-69.57207	2581.7
-54.53373	-69.57207	2581.7
-54.53373	-69.57207	2581.7
-54.53373	-69.57207	2581.7
-54.53373	-69.57207	2581.7
-54.53373	-69.57207	2581.7
-64.87	-63.065	3378.1
-65.0	-70.0	724.7
64.83333	62.65	687.9
-65.0	-70.0	724.7
-65.0	-70.0	724.7
-67.65	-62.7167	400.7
-50.25	-74.2	7857.1
-64.95	-62.6167	3512.9
-47.6358	-72.8425	2003.8
-54.53373	-69.57207	2581.7
-46.6071	-74.0377	4453.9
57.0614	-3.60606	1480.7
45.37422	7.05711	1474.5
45.45359	6.70162	1254.4
45.52829	6.78551	1603.2
45.52697	6.78726	1603.2
44.681	6.697	925.2
44.719	6.762	1021.7
45.45374	6.69739	1227.7
44.778	6.86	940.9
45.37422	7.05711	1474.5
45.41417	6.14452	1722.3
45.38345	6.09737	1653.1
45.39033	6.25483	1563.9
45.5487	6.4662	1289.2
45.5874	6.46035	1288.1
45.49377	6.32131	1189.2
28.69644	84.16647	1970.4
28.69644	84.16647	1970.4
28.69644	84.16647	1970.4
46.6216	8.40399	3001.4
69.2167	-49.9857	569.0
69.2167	-49.9857	569.0
69.2167	-49.9857	569.0
		
		
60.26449	-139.10915	4873.7
60.26449	-139.10915	4873.7
60.4266	18.186	593.9
63.74989	18.1544	868.5
74.514365	-20.624344	373.9
74.514365	-20.624344	373.9
74.514365	-20.624344	373.9
74.510159	-20.645018	380.4
67.011	-50.72	241.2
28.58436	83.98884	3753.7
-43.4607	170.1861	7241.0
63.11533	19.0529	597.6
78.9099	11.8083	794.1
78.2934	16.4094	431.2
80.50038	-59.51339	235.6
80.50038	-59.51339	235.6
69.2167	-49.9857	569.0
80.50038	-59.51339	235.6
-73.0	68.0	60.5
-46.51339	-72.03758	697.3
58.9269	-133.9081	3016.8
60.1755	-141.1577	4783.0
-54.53373	-69.57207	2581.7
-65.5667	-63.7667	3496.4
-65.6167	-63.7833	3458.8
-64.6667	-61.6333	2832.0
-64.3333	-60.9667	3298.6
-65.5	-63.6667	3749.4
-64.9333	-62.5833	3416.6
-65.0167	-62.9667	2815.3
-62.2167	-58.6667	1467.7
-50.25	-74.2	7857.1
-54.53373	-69.57207	2581.7
-48.1348	-73.4278	4130.6
-54.53373	-69.57207	2581.7
-50.9961	-73.6558	6343.9
-46.7631	-73.8184	6040.5
-54.53373	-69.57207	2581.7
67.83612	15.03983	1964.9
63.11533	19.0529	597.6
63.11533	19.0529	597.6
63.11533	19.0529	597.6
63.11533	19.0529	597.6
77.07824	15.30863	807.1
45.86605	6.8593	2744.9
-76.98366	161.52648	91.9
-76.98366	161.52648	91.9
-76.98366	161.52648	91.9
-76.98366	161.52648	91.9
-76.98366	161.52648	91.9
-76.98366	161.52648	91.9
-76.98366	161.52648	91.9
-76.98366	161.52648	91.9
-76.98366	161.52648	91.9
-76.98366	161.52648	91.9
44.04642	7.00557	1403.1
44.04642	7.00557	1403.1
70.0	-30.0	516.1
60.1755	-141.1577	4783.0
54.0	-89.0	609.4
61.12586	6.52565	1427.7
61.11503	6.49212	1420.2
60.69	6.6792	2601.4
61.5792	7.3147	1930.0
60.69	6.6792	2601.4
60.69	6.6792	2601.4
67.8556	15.5942	2118.2
61.5828	8.32275	1639.3
61.5828	8.32275	1639.3
61.5828	8.32275	1639.3
61.5792	7.3147	1930.0
61.641	7.7698	1430.8
