Latitude	Longitude	Precipitation_mm_yr
-18.10821	-63.45741	1191.8
48.86667	3.0	791.4
44.4	-0.6	975.6
48.85	2.61667	706.3
48.81667	3.08333	738.9
19.23333	97.93333	1198.1
19.4	98.45	910.5
19.73333	98.48333	1378.6
10.68333	98.05	4286.1
8.81667	98.83333	1981.2
14.73333	-1.63333	389.2
32.25	6.33333	45.5
6.08333	-4.75	1234.6
50.19264	1.62356	847.5
43.52936	-1.5226	1608.7
52.33435	-55.81676	922.2
48.12689	-69.70383	1068.4
56.06732	-87.56196	568.1
44.42297	-124.08301	2303.8
43.97653	-69.85684	1185.9
34.10176	-119.09375	391.1
41.27829	-72.33893	1207.1
43.38439	-124.18244	1922.0
43.12293	-124.42696	1717.6
47.58483	-122.35963	1082.7
32.49872	-80.35253	1274.1
28.40789	-96.77551	970.7
38.7688	-123.53404	1273.3
47.7515	-124.43897	3099.4
41.17072	-73.10943	1238.5
36.98609	-76.28416	1174.9
43.75148	-69.77518	1323.0
33.75529	-118.18829	312.4
40.30213	-124.35396	1782.1
42.81958	-70.81328	1263.1
30.66788	-88.03132	1686.1
39.19193	-123.7611	1178.9
29.96841	-93.85517	1550.1
45.65574	-123.94151	2714.3
48.77272	-122.58477	1045.3
27.83726	-97.48827	836.4
36.84537	-121.80756	514.7
30.35572	-88.60421	1690.2
40.71561	-74.11935	1181.6
38.31232	-76.42127	1184.3
44.50303	-68.79949	1203.7
42.42193	-124.43004	2402.3
38.06144	-121.79374	429.4
30.40109	-81.40005	1263.2
36.75088	-121.80446	471.4
32.75662	-117.25222	243.8
32.97511	-117.27038	284.8
38.02625	-121.78287	417.6
33.62915	-117.95848	315.1
33.23229	-117.41691	282.3
34.97083	-120.65028	473.1
34.69308	-120.60287	395.0
44.92704	-124.02289	2561.1
44.01728	-124.13713	2161.5
42.85487	-124.54338	2016.3
41.93956	-124.20388	2291.2
48.01971	-122.21173	1053.9
32.55201	-117.12695	262.9
45.4875	-123.90167	2845.2
43.66976	-124.20521	2064.8
37.23881	-76.39672	1165.9
59.23856	-135.54039	1502.0
61.48259	-149.26242	638.9
61.49026	-149.26987	614.4
58.01398	-133.75794	3255.2
19.72823	-155.0878	4718.0
-18.12539	178.52993	3015.8
19.4167	-96.32229	1218.6
20.67285	-105.28074	1144.1
19.31045	-96.28496	1305.3
17.94539	-102.13488	1015.6
18.68496	-103.7382	749.1
24.49365	-107.7322	603.9
15.56443	-93.29874	2247.7
18.60045	-92.69287	1524.7
19.10123	-96.10186	1639.1
17.91172	-101.86227	998.8
16.55501	-98.81468	1307.2
26.72993	-109.79381	354.9
19.89425	-96.49738	1260.4
25.08453	-108.07011	539.1
22.25886	-97.7927	1199.4
18.74853	-95.75049	1803.6
23.70552	-106.81161	712.8
24.96669	-97.75395	691.4
24.24751	-107.41525	648.7
14.53209	-92.22735	1600.1
16.19007	-95.1452	1054.2
18.64871	-92.46794	1510.4
15.98524	-97.7881	1219.0
15.74353	-88.2697	2630.4
13.25671	-88.82363	1697.2
14.99817	-83.13858	3150.0
12.05449	-83.73836	3781.5
12.90977	-83.51334	3921.6
13.41148	-83.56087	3552.4
10.93994	-83.69843	4710.4
8.96432	-83.62393	4759.7
18.16823	-67.18091	1618.7
11.26222	-73.48514	1918.7
8.20143	-76.92281	2152.3
11.25799	-73.70388	2042.0
7.93863	-76.75043	2428.6
1.63935	-79.0045	2648.1
8.64689	-76.73192	2231.1
2.64496	-78.32098	4504.8
11.55488	-72.90376	806.1
4.12222	-77.51572	8191.3
9.44019	-75.94832	1396.2
8.12209	-76.75585	2159.8
-32.91491	-71.50809	521.8
-43.34211	-65.05582	248.4
-50.94215	-69.16589	302.2
-47.76019	-65.87023	215.1
-51.59543	-68.97072	283.2
-50.13082	-68.34763	287.2
1.23659	-49.90276	3434.0
-14.2745	-38.99182	2100.3
-19.64316	-39.81253	1300.8
-1.09606	-46.04733	2404.4
-26.91291	-48.64177	1801.4
-2.77199	-44.16292	1897.2
-4.42369	-37.76684	1202.3
-15.84445	-38.85599	1680.0
-2.41174	-44.33102	2179.9
-18.09547	-39.54951	1461.6
-12.8336	-38.79515	1633.4
-21.61727	-41.01591	884.7
-2.73943	-41.79471	1278.6
-0.46997	-48.23149	3207.1
4.68237	-51.95623	3686.6
5.7302	-53.83981	2326.0
5.7411	-53.97205	2271.8
4.47387	-51.64238	3692.9
5.83369	-55.94999	1961.3
5.9703	-57.01509	1676.1
5.83944	-55.93405	1968.0
5.92556	-55.15507	2017.2
6.29787	-57.52747	1875.5
6.01725	-57.08283	1687.3
6.97786	-58.39846	2209.1
36.04559	35.963	1092.0
37.54017	27.16898	679.7
41.88129	32.93647	1122.6
38.58894	26.81592	571.3
41.00994	38.84445	1105.7
40.98749	40.3297	1758.5
41.88179	35.12004	741.1
37.95878	27.26365	710.4
40.98468	37.9335	995.7
43.18621	40.28059	1943.9
41.60355	41.57429	3125.0
42.39164	41.55902	2111.5
42.27558	41.6322	2094.8
42.8208	41.13209	1758.8
42.0193	41.75292	2111.4
14.80614	43.14752	170.6
12.82607	44.94374	85.4
36.64211	5.33937	725.4
36.87126	6.08291	931.8
36.69911	2.80367	633.1
36.91164	3.85506	745.5
36.86782	7.77328	675.9
36.72913	5.07676	719.1
35.29777	-1.47177	350.8
34.03527	-6.83498	488.7
28.68268	-11.11944	124.7
35.20216	-6.152	650.1
30.07807	-9.67268	221.6
33.704	-7.41126	422.7
35.57036	-5.99479	678.3
35.19944	-3.8238	341.4
33.31845	-8.33853	387.3
37.01217	10.19185	566.9
36.76437	10.29903	493.4
13.55595	-16.60366	747.1
9.80857	-13.75474	3330.3
4.36401	-7.52764	2278.5
5.30093	-4.335	1616.3
5.14256	-4.96447	1553.8
5.19215	-3.72196	1621.7
4.95938	-6.07732	1335.8
4.89628	-2.27043	1709.3
5.35766	-0.59176	947.3
5.01885	-1.62574	1225.4
6.28379	1.83883	957.8
6.45183	2.52781	1226.6
4.76296	8.34479	2813.8
6.59373	3.46029	1657.0
3.26036	9.90585	3028.0
-34.02064	23.3972	809.0
-34.14344	24.84056	655.9
-29.11242	31.61554	1077.8
-29.22603	31.49745	1031.1
-28.6617	32.257	1295.4
-29.81241	31.04158	902.2
-28.80934	32.0888	1196.9
-30.2003	30.80299	988.3
-31.08149	30.19569	1146.7
-29.38668	31.33638	1009.7
-31.62144	29.54925	1222.2
-15.70968	46.28341	1489.1
-21.43933	43.46121	492.7
-19.64158	44.42117	853.9
14.59558	120.95896	1986.4
7.3438	125.7836	2743.5
-7.6853	109.11249	3257.6
-6.6649	111.18766	1899.7
-6.39581	155.19583	3158.0
-12.21965	131.23048	1651.4
-24.51503	152.05887	1061.0
-19.17856	146.65169	1226.3
-23.93721	151.35614	905.9
-27.39662	153.15309	1132.8
-24.75662	152.39883	1000.6
-25.17941	152.61473	950.4
-23.82444	151.21838	858.9
-16.28431	145.45378	2643.3
-42.90858	147.38445	562.6
-23.51874	150.87032	870.6
-15.46072	145.24541	1800.7
-12.88433	130.33815	1875.0
-17.59692	140.5956	971.9
-19.41018	147.12918	1099.9
-33.56147	151.30808	1209.7
-18.50725	146.2759	1896.0
-32.91941	151.79218	1195.3
-10.92049	142.21082	1751.2
-14.65869	144.92122	1283.6
-17.50865	146.07102	3825.7
-24.6475	152.18472	1025.2
-12.88127	143.38142	1675.2
-30.8729	153.02411	1317.5
-25.43214	152.928	1222.2
-15.19849	141.58656	1399.4
-14.40145	144.14451	1070.3
-12.49538	143.27209	1871.7
-21.39965	149.28116	1420.2
-20.48278	148.72077	1572.7
-19.26889	146.83556	1094.0
-34.88291	150.73645	1168.0
-23.22567	150.79839	1051.2
-12.18907	132.39272	1756.9
-14.06821	143.69302	1392.5
-22.38393	149.7803	860.0
-41.07511	146.78114	820.4
-18.02658	146.05284	2856.2
-22.92824	150.74112	1254.2
-12.30051	132.06645	1748.3
-37.85021	144.9053	599.7
-41.24097	174.8995	1190.4
-37.74828	176.41568	1625.9
-40.47742	175.21436	1195.8
-38.70565	174.61529	1936.1
-40.76061	175.1003	1471.6
-41.39678	175.72102	1044.0
-39.77347	174.48866	1425.7
-37.19288	175.49865	1278.0
-40.25485	176.70001	915.5
-37.90894	176.88189	1482.2
-40.3005	175.2248	1025.7
-37.88982	176.7879	1534.6
-40.06687	175.12748	1000.9
-38.37526	178.30632	1379.5
-37.16746	175.5383	1323.0
-37.36182	174.69936	1333.7
-39.0628	177.42105	1381.6
-36.18381	174.06014	1291.7
-38.98828	174.22824	2505.6
-39.85034	174.68484	1256.5
-40.04115	175.10012	1023.3
-41.01577	176.10699	1069.1
-46.33356	168.01814	1478.9
-43.994	168.67225	3692.7
-44.05074	171.8051	634.6
-43.27665	172.72323	662.1
-41.6077	174.16727	701.7
-42.16836	173.93659	777.6
-46.33686	169.82364	773.0
-42.44132	171.19451	2652.6
-42.90479	173.29152	789.9
-45.18879	170.89917	650.2
-46.58194	168.79691	1003.8
-41.52173	171.9369	2306.2
-41.08036	173.02231	1400.9
-44.28006	171.35032	641.7
-44.24257	171.40825	651.5
-46.46183	168.30105	1231.4
-45.99123	170.14513	775.9
-40.81797	172.80189	1994.1
-42.5633	171.12568	2855.8
-43.28907	170.0484	4350.3
-43.15408	172.79737	647.3
-41.50505	174.05758	834.4
-42.9562	170.66016	3719.5
-44.93693	171.14436	582.0
-43.11869	170.25218	4322.5
65.74845	-19.41375	631.3
65.66195	-20.30019	705.5
64.58415	-21.76173	1562.8
63.87715	-21.20829	1613.8
65.98408	-17.59285	977.7
59.7318	10.23739	960.5
59.1751	10.95494	847.9
58.02038	7.45634	1405.1
59.01544	9.77689	926.3
62.79496	17.94351	690.7
60.64347	17.44672	633.4
57.68282	11.85133	844.9
62.50663	17.44941	673.1
65.81255	23.21477	752.5
62.33749	17.38645	686.5
65.55663	22.18991	683.4
63.5221	19.73546	738.0
65.2271	21.53	771.6
65.83343	22.34774	741.8
64.68364	21.20371	771.1
65.81034	24.15212	848.0
63.67012	22.82148	592.1
65.3409	25.25997	755.9
64.28976	23.90929	641.8
60.09277	23.56024	760.6
65.7676	24.44426	835.7
65.2031	25.27783	713.6
61.56709	21.66187	663.3
63.18542	21.97055	582.9
63.5737	22.48287	611.2
65.00388	25.39727	626.5
60.40295	22.64338	768.6
63.89387	23.13892	593.8
64.48625	24.21559	632.1
64.85743	24.69149	646.1
65.62028	25.04674	764.0
59.47189	28.04228	723.3
57.06181	24.02651	762.0
57.39583	21.54428	751.4
55.33708	21.24802	838.6
54.18718	15.55253	726.8
54.15887	15.38817	707.4
54.58893	16.85219	727.4
51.86873	4.00779	867.1
51.97951	4.09265	908.8
57.60056	-4.39172	1002.7
53.24287	-3.09539	820.1
57.66434	-2.51311	902.8
57.17595	-2.0774	863.6
56.35334	-3.29885	788.2
57.66162	-3.62636	787.1
57.49358	-4.23729	865.0
53.56209	0.13223	664.7
51.48815	0.75111	622.3
53.69707	-0.6953	645.4
52.23538	-6.95445	1059.9
51.94242	-7.8376	1164.5
53.72229	-6.24664	834.0
54.5112	-8.2547	1444.2
51.79658	-8.26836	1099.6
53.34334	-6.18881	919.2
54.1802	-9.1377	1426.9
52.67717	-8.75147	1140.5
52.33842	-6.45607	993.1
43.40981	6.73641	816.4
43.21283	3.24003	615.4
45.95409	-1.07671	788.0
43.2829	3.44389	619.0
43.24651	3.29818	618.4
42.71502	3.0394	646.3
43.65546	7.19921	825.2
47.49665	-2.44513	829.8
42.5225	9.53447	680.8
36.73887	-2.97869	370.8
36.81133	-2.42922	233.7
43.43514	-4.03499	1293.7
43.37797	-1.78914	1891.2
43.3001	-2.35519	1493.3
43.39345	-4.51235	1408.1
36.72335	-3.57942	386.8
36.66564	-4.45451	523.8
36.283	-5.276	847.2
39.15129	-0.23855	654.8
41.29869	2.13765	595.6
43.56449	-6.07709	1065.8
43.55623	-6.72506	1102.7
43.32702	-3.02063	1071.9
43.29154	-2.13273	1648.6
38.11126	-0.64161	296.9
43.46729	-5.06513	1387.0
41.14553	-8.67425	1306.4
37.17436	-7.40103	541.9
38.66787	-9.28159	654.2
40.22228	16.741	504.4
39.72438	16.52977	608.3
41.91988	15.29292	488.1
44.04809	9.98827	1152.9
44.07627	12.56311	710.6
41.35887	16.19764	462.0
42.65893	11.01337	657.8
43.42398	13.67064	653.2
40.15282	16.69175	512.1
42.52641	14.15206	707.3
42.06304	14.79702	471.0
41.02376	13.92624	889.1
37.05813	14.26065	478.2
37.38529	15.09024	535.4
41.63752	19.5723	1258.6
40.64418	19.31859	869.7
43.02061	17.44693	1078.9
38.34482	21.10767	865.3
37.61291	21.45197	860.6
40.4734	22.65196	534.7
39.01691	21.05018	1080.8
40.50405	22.71941	504.3
40.73852	26.03499	567.9
40.63063	22.84351	498.2
39.5294	20.14493	1139.1
39.047	20.77841	943.2
40.84722	24.80432	543.5
39.93516	22.71802	582.9
38.87413	22.56059	412.7
40.78601	23.84915	466.3
73.53979	113.47393	192.4
64.50008	178.33788	467.2
61.94259	160.3778	394.0
56.21012	162.49211	853.6
64.95555	34.6753	578.3
73.24447	106.7448	206.5
66.18923	43.9588	547.4
43.41592	39.92375	1955.2
66.22893	72.10351	550.4
59.96479	30.21585	685.3
67.13103	32.42078	724.0
73.01937	119.7473	314.8
63.92982	37.99329	730.6
62.46695	165.10884	440.8
67.56352	77.78057	692.8
59.63391	149.09786	1093.0
67.55568	78.58184	727.1
53.75704	136.78427	687.8
54.72304	135.28838	810.6
9.31112	76.38204	2781.5
10.78806	75.91342	2853.7
20.70583	87.00008	1767.4
11.36057	79.83099	1421.7
10.1772	76.16445	2906.2
11.16214	75.80264	3072.7
15.5412	80.22809	1034.9
